BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
19239,Communist Manifesto Red,Irish Red Ale,3.79,1.058,1.014,5.66,25.63,12.72,5.68,90,1.038,70.0,Specific Gravity,All Grain
19243,Irish Red Ale -  Red +,Irish Red Ale,20.0,1.047,1.011,4.73,19.47,17.14,33.0,60,1.028,72.0,Specific Gravity,All Grain
19246,Better Red than Dead,Irish Red Ale,21.0,1.053,1.016,4.86,26.11,19.73,33.0,90,1.034,70.0,Specific Gravity,BIAB
19286,Brogue Kick (2015),Irish Red Ale,18.93,1.057,1.015,5.44,27.34,17.08,24.61,60,1.044,70.0,Specific Gravity,All Grain
19290,Red Rye,Irish Red Ale,117.35,1.055,1.013,5.6,36.36,21.42,94.64,60,1.06,70.0,Specific Gravity,All Grain
19291,Einer øl,Irish Pale Ale,25.0,1.063,1.015,6.24,59.99,11.5,25.0,90,1.063,78.0,Specific Gravity,All Grain
19327,Ír stout,Irish Dry Stout,42.0,1.04,1.0090000000000001,4.06,32.39,32.88,46.0,60,1.037,66.0,Specific Gravity,All Grain
19356,Sams Vienna Lager Light,Irish Lager,20.82,1.046,1.012,4.55,27.62,8.5,28.39,60,1.034,75.0,Specific Gravity,All Grain
19413,Greg's Belgian Delight,Irish Pale Ale,45.42,1.0490000000000002,1.01,5.12,22.87,10.33,53.0,90,1.042,75.0,Specific Gravity,All Grain
19453,Cereal Killer,Irish Cream Ale,18.93,1.077,1.015,8.22,42.3,4.33,28.39,60,1.052,75.0,Specific Gravity,All Grain
19471,Cream Ale,Irish Cream Ale,19.87,1.052,1.008,5.69,6.91,3.19,28.39,90,1.036,65.0,Specific Gravity,All Grain
19513,Cream Ale,Irish Cream Ale,12.0,1.048,1.008,5.33,19.21,3.14,19.5,60,1.03,70.0,Specific Gravity,BIAB
19516,Vanilla Cream Ale 1 Gal,Irish Cream Ale,4.54,1.05,1.0090000000000001,5.4,17.31,2.7,7.57,60,1.03,70.0,Specific Gravity,All Grain
